 ГАЗ-22171 (дв. ЗМЗ-4063ОC, -4063.10) ;14,8
 ГАЗ-22171 (дв. ЗМЗ-4063ОD);14,6
 ГАЗ-22171 (дв. Chrysler 2,4L) ;12
 ГАЗ-24-01М ;12,2
 ГАЗ-24-03 ;12,8
 ГАЗ-24-07, -24-25 ;15,7
 ГАЗ-24-14 ;12,8
 ГАЗ-24-17 ;17,1
 ГАЗ-24-60 ;12,4
 ГАЗ-24, -24-01, -24-02, -24-04, -24Т;12,4
 ГАЗ-3102 (дв. ЗМЗ-4020ОМ) ;12,5
 ГАЗ-3102 (дв. ЗМЗ-4021) ;12,3
 ГАЗ-3102 (дв. ЗМЗ-4022.10);13,3
 ГАЗ-3102 (дв. ЗМЗ-40621A) ;9,9
 ГАЗ-3102 (дв. Chrysler 2,4L) ;10
 ГАЗ-3102 (дв. Rover 20T4);9,2
 ГАЗ-3102 (дв. Toyota, 3,4i) ;11,9
 ГАЗ-3102 2,0i (дв. Rover 20T4H958) ;10,1
 ГАЗ-31022, -310221 (дв. ЗМЗ-402) ;12,7
 ГАЗ-310221 (дв. ЗМЗ-40621А) ;9,9
 ГАЗ-310221-441 (дв. ЗМЗ 4021);13
 ГАЗ-31029 (дв. 24Д/24-01) ;16,3
 ГАЗ-31029 (дв. ЗМЗ-402, -402.10);12,1
 ГАЗ-31029 (дв. ЗМЗ-4021)  ;12,3
 ГАЗ-3110 (дв. ГАЗ-560) ;8,7
 ГАЗ-3110 (дв. ЗМЗ-4063ОА) ;10
 ГАЗ-31105 (дв. ЗМЗ-405240) ;10
 ГАЗ-3221 (дв. ЗМЗ-40630А) ;15,2
 ГАЗ-3221 (дв. УМЗ-4215С);15,5
 ГАЗ-3221, -288 «Бизнес» (дв. УМЗ-421600) ;14,2
 ГАЗ-3221, -322100 (дв. ЗМЗ-402.10, 4026, -4026OF) ;17,6
 ГАЗ-322132 (дв. ЗМЗ-4063, -4063ОА) ;18,5
 ГАЗ-3262 (дв. УМЗ-4215) ;16,2
 Audi A6 1,9TDi ;6,6
 Jaguar XJ6 3,2i;14,3
 Jeep Cherokee 2,1 TD ;7,6
 Jeep Cherokee 2,5i 4WD ;12,8
 Jeep Cherokee 2,5TD 4WD ;10,2
 Jeep Cherokee 4,0 ;15,3
 Jeep Commander 3,0CRD (5АКПП);10,9
 Jeep Grand Cherokee 2,7CRD 4WD;11,7
 Jeep Grand Cherokee 3,0CRD, PREMIUM ;10,3
 Jeep Grand Cherokee 3,1 TD 4WD ;12,4
 Jeep Grand Cherokee 3,7i (5АКПП) 4WD ;13,3
 Jeep Grand Cherokee 4,0i 4WD;14,1
 Jeep Grand Cherokee 4,7i (5АКПП) ;15,6
 Jeep Grand Cherokee 4,7i 4WD ;15,8
 Kia Capital GLX 1,5 ;8,2
 Kia Carens 2,0CRDi ;7,4
 Kia Carnival 2,9CRDi ;9,3
 Kia Cee’d 1,4i;7
 Kia Cee’d 1,6CRDi ;5,7
 Kia Cee’d 1,6i ;7,7
 Kia Cerato 1,6CRDi ;5,7
 Kia Clarus GLX 2,0i ;9,5
 Kia Joice 2,0i ;8,8
 Kia Magentis 2,0i ;9,1
 Kia Magentis 2,7i (5АКПП) ;11,2
 Kia Opirus 3,8i (5АКПП) ;12,2
 Kia Rio 1,4i ;7,4
 Kia Rio 1,4i (4АКПП) ;7,9
 Kia Rio 1,6-CVVT;7,7
 Kia Sephia 1,5i ;7,9
 Kia Sorento 2,4i 4WD;12,5
 Kia Sorento 2,5CRDi (5АКПП) 4WD ;9,7
 Kia Sorento 2,5CRDi 4WD ;8,9
 Kia Sorento 2,5TDi 4WD ;8,9
 Kia Sportage 2,0CRDi (4АКПП) 4WD;8,9
 Kia Sportage 2,0CRDi 4WD ;7,2
 Kia Sportage 2,0i 4WD;11,5
 Kia Sportage 2,0i 4WD ;11,4
 Lancia Kappa 2,4i;11,9
 Lancia Kappa 2,4i ;10,8
 Lancia Kappa 2,4TD ;9,1
 Lancia Lybra 1,8i ;8,8
 Lancia Lybra 1,9JTD;6,5
 Lancia Lybra 2,0i ;10,1
 Lancia Prisma 2,0D ;6,8
 Lancia Thema 2,0i 16V ;9,7
 Lancia Z 2,1TD ;8,1
 MW 318 1,7TDS ;6,5
 MW 320D ;8,6
 MW 323i;10,8
 MW 520d 2,0d ;6,7
 Nissan Murano 3,5i (АКПП CVT) ;12,3
 Nissan Note 1,4i ;6,6
 Nissan Pathfinder 2,5DCi 4WD ;10,4
 Nissan Pathfinder 3,5i (4АКПП) 4WD ;12,6
 Nissan Pathfinder 4,0i (4АКПП) 4WD ;15,2
 Nissan Patrol 2,8 4WD 88;11,9
 Nissan Patrol 2,8E 4WD 85 ;11,9
 Nissan Patrol 3,0TDi ;11,8
 Nissan Patrol 3,3D ;11,4
 Nissan Patrol GR 4,8i ;15,1
 Nissan Patrol GR Wagon 2,8TDi 4WD ;10,9
 Nissan Primastar 2,0DCi 107 ;8,2
 Nissan Primastar 2,0TDCi ;8,2
 Nissan Primera 1,6i 66 ;7,9
 Nissan Primera 1,6LX ;7,6
 Nissan Primera 1,6SLX ;7,2
 Nissan Primera 1,8i 78 ;7,7
 Nissan Primera 1,8i 85 ;8,1
 Nissan Primera 2,0i 103;9,1
 Nissan Primera 2,2TD Di ;6,8
 Nissan Serena 2,3D ;8,6
 Nissan Sunny 1,4 ;7,7
 Nissan Sunny 2,0D ;6,8
 Nissan Terrano 2,7TD 4WD ;10
 Nissan Terrano 3,0i 4WD ;13,1
 Nissan Terrano II 2,4i 4WD 91;11,4
 Nissan X-Terra 3,3i (4АКПП) ;11,6
 Nissan X-Trail 2,0dCi 110 ;8
 Nissan X-Trail 2,5i 4WD ;11,2
 Oldsmobile Cutlass 3,3i ;10,5
 Opel Ascona 1,3 ;7,8
 Opel Ascona C 1,6 ;8,6
 Opel Astra 1,4i 44;7,2
 Opel Astra 1,4i 60 ;6,9
 Opel Astra 1,4i 66 ;8
 Opel Astra 1,6 55 ;7,5
 Opel Astra 1,6i ;7,7
 Opel Astra 1,6i 52 ;7,3
 Opel Astra 1,6i 76 ;7,1
 Opel Astra 1,6i 77 ;7,1
 Opel Astra 1,7CDTi;6,2
 Opel Astra 1,7CDTi Station Wagon;6,1
 Opel Astra 1,8i 103;8
 Opel Astra 1,8i 85 ;8,1
 Opel Astra 1,8i 92 ;8,4
 Opel Astra 2,0Dti 16v 7;6,8
 Opel Astra Caravan 1,6 ;7,5
 Opel Astra Caravan 1,6i 16V;7,6
 Opel Astra Caravan 1,7D ;5,6
 Opel Astra Caravan 1,9TD ;6,8
 Opel Catera 3,0i;12
 Opel Combo 1,3CDTi ;5,6
 Opel Corsa 1,3i ;7
 Opel Corsa 1,4i (4АКПП);7,4
 Opel Frontera 2,0i 4WD ;10,5
 Opel Frontera 2,2DTi 4WD ;9
 Opel Frontera 2,2i 4WD;11
 Opel Frontera 3,2i 4WD ;14,9
 Opel Frontera Sport 2,0i 4WD ;10,3
 Opel Insignia 1,8i 1;8,6
 Opel Insignia 2,0CDTi (6АКПП) ;8,4
 Opel Kadett 1,7D 4;5,5
 Opel Kadett 1,8i ;8,1
 Opel Kadett Caravan 1,2 ;7,5
 Opel Kadett Caravan LS 1,3;7,9
 Opel Monterey 3,1TDi 4WD ;10,9
 Opel Monterey 3,2i 4WD;14,3
 Opel Monterey 3,5i 4WD ;14,4
 Opel Movano 2,5D ;9,1
 Opel Omega 1,8 ;8,7
 Opel Omega 2,0DTi ;7,5
 Opel Omega 2,0i ;9
 Opel Omega 2,0i 16V ;9,6
 Opel Record Caravan 2,2i ;10
 Opel Senator 3,0i ;12,4
 Opel Signum 1,9CDTi (6АКПП) ;8
 Opel Signum 2,2i ;10,1
 Opel Signum 2,8Ti ;11,7
 Opel Vectra 1,8i ;8
 Opel Vectra 1,8i 103 ;8,7
 Opel Vectra 1,8i 85 ;8,2
 Opel Vectra 1,8S;8,2
 Opel Vectra 2,0DTi ;6,2
 Opel Vectra 2,0i 4WD;9,9
 Opel Vectra 2,0i 82 ;9
 Opel Vectra 2,0i 85 ;9,4
 Opel Vectra 2,2DTi ;7,7
 Opel Vectra 2,2i 108;8,8
 Opel Vectra 2,2i 114 ;10
 Opel Vectra 2,5i 125 ;10,9
 Opel Vectra 2,8Ti 169 ;11,7
 Opel Vectra 2,8Ti 184;11,9
 Opel Vectra 3,2i 155 ;11,3
 Opel Vectra C 2,2DTi ;7,4
 Opel Vivaro 1,9DTi ;8,5
 Opel Vivaro 2,0i ;11,7
 Opel Zafira 1,6i 74 ;7,8
 Opel Zafira 1,8i 103;8,4
 Peugeot 1007 1,4i ;7,1
 Peugeot 106 XND 1,5D;5,3
 Peugeot 206 1,4i ;7,2
 Peugeot 206 1,6i ;7,6
 Peugeot 207 1,4i ;6,8
 Peugeot 306 1,6i ;7,5
 Peugeot 306 1,9D ;6,6
 Peugeot 307 1,4i ;7,1
 Peugeot 307 1,6HDi ;5,3
 Peugeot 307 SW 1,6HDi ;5,9
 Peugeot 307 SW 2,0Hdi ;6,3
